,Poll,Sanders ,Biden ,Warren ,Bloomberg ,Buttigieg ,Klobuchar ,Steyer ,Gabbard ,Start Date,End Date,Population,Sample Size,Spread Val,Lead,Mid Date
0,RCP Average,35.0,23.0,16.0,14.0,6.0,4.0,,1.5,2020-02-28,2020-03-02,nan,,12.0,Sanders,2020-02-29 12:00:00
1,Data for Progress (D),32.0,25.0,16.0,17.0,5.0,3.0,,2.0,2020-02-28,2020-03-02,LV,516.0,7,Sanders,2020-02-29 12:00:00
2,Emerson,38.0,21.0,16.0,11.0,7.0,5.0,2.0,1.0,2020-02-29,2020-03-01,LV,545.0,17,Sanders,2020-02-29 12:00:00
3,CBS News/YouGov,31.0,19.0,18.0,12.0,9.0,4.0,3.0,1.0,2020-02-27,2020-02-29,LV,1411.0,12,Sanders,2020-02-28 00:00:00
4,USA Today/Suffolk,35.0,14.0,12.0,16.0,7.0,5.0,3.0,3.0,2020-02-26,2020-02-29,LV,500.0,19,Sanders,2020-02-27 12:00:00
5,Stanford/YouGov,28.0,19.0,18.0,13.0,9.0,6.0,4.0,3.0,2020-02-26,2020-02-28,RV,1020.0,9,Sanders,2020-02-27 00:00:00
6,CNN,35.0,13.0,14.0,12.0,7.0,6.0,3.0,1.0,2020-02-22,2020-02-26,LV,488.0,21,Sanders,2020-02-24 00:00:00
7,Berkeley IGS,34.0,8.0,17.0,12.0,11.0,6.0,2.0,,2020-02-20,2020-02-25,LV,3002.0,17,Sanders,2020-02-22 12:00:00
8,KQED/NPR,37.0,12.0,20.0,6.0,11.0,5.0,3.0,2.0,2020-02-20,2020-02-23,LV,1069.0,17,Sanders,2020-02-21 12:00:00
9,Monmouth,24.0,17.0,10.0,13.0,9.0,4.0,5.0,2.0,2020-02-16,2020-02-19,LV,408.0,7,Sanders,2020-02-17 12:00:00
10,UMass Lowell,24.0,13.0,16.0,12.0,12.0,7.0,2.0,4.0,2020-02-12,2020-02-20,LV,450.0,8,Sanders,2020-02-16 00:00:00
11,KGTV-TV/SurveyUSA,25.0,15.0,9.0,21.0,12.0,6.0,3.0,,2020-02-13,2020-02-16,LV,520.0,4,Sanders,2020-02-14 12:00:00
12,PPIC,32.0,14.0,13.0,12.0,12.0,5.0,3.0,1.0,2020-02-07,2020-02-17,LV,573.0,18,Sanders,2020-02-12 00:00:00
13,USC/YouGov,29.0,21.0,20.0,8.0,6.0,3.0,2.0,2.0,2020-02-01,2020-02-15,LV,803.0,8,Sanders,2020-02-08 00:00:00
14,KQED/NPR,30.0,15.0,16.0,4.0,8.0,3.0,2.0,4.0,2020-01-25,2020-01-27,LV,1967.0,14,Sanders,2020-01-26 00:00:00
15,Berkeley IGS,26.0,15.0,20.0,6.0,7.0,5.0,2.0,,2020-01-15,2020-01-21,LV,2895.0,6,Sanders,2020-01-18 00:00:00
16,KGTV-TV/SurveyUSA,20.0,30.0,20.0,6.0,8.0,2.0,4.0,2.0,2020-01-14,2020-01-16,LV,565.0,10,Biden,2020-01-15 00:00:00
17,PPIC,27.0,24.0,23.0,1.0,6.0,4.0,,,2020-01-03,2020-01-12,LV,530.0,3,Sanders,2020-01-07 12:00:00
18,KQED/NPR,26.0,19.0,23.0,3.0,12.0,1.0,2.0,3.0,2019-12-06,2019-12-10,LV,862.0,3,Sanders,2019-12-08 00:00:00
19,CNN,20.0,21.0,17.0,5.0,9.0,2.0,1.0,2.0,2019-12-04,2019-12-08,LV,508.0,1,Biden,2019-12-06 00:00:00
20,Berkeley IGS,24.0,14.0,22.0,2.0,12.0,3.0,1.0,1.0,2019-11-21,2019-11-27,LV,1694.0,2,Sanders,2019-11-24 00:00:00
21,KGTV-TV/SurveyUSA,18.0,28.0,13.0,3.0,8.0,1.0,3.0,2.0,2019-11-20,2019-11-22,LV,558.0,10,Biden,2019-11-21 00:00:00
22,PPIC,17.0,24.0,23.0,,7.0,1.0,1.0,,2019-11-03,2019-11-12,LV,682.0,1,Biden,2019-11-07 12:00:00
23,KQED/NPR,24.0,19.0,28.0,,9.0,2.0,1.0,2.0,2019-10-15,2019-10-18,LV,1631.0,4,Warren,2019-10-16 12:00:00
